SECTION_CODE,SECTION_NAME,CHAPTER_CODE,CHAPTER_NAME,GROUP_CODE,GROUP_NAME,CLASS_CODE,CLASS_NAME,EDRPOU_CODE,"Повне найменування юридичної особи
(cтаном на 06.10.2025)",Скорочена назва,"Статус юридичної особи 
(cтаном на 06.10.2025)",Статус з ЄДР,Код ЄДРПОУ,Дата реєстрації,"Дата та номер запису про державну реєстрацію припинення юридичної особи, підстава для його внесення",Уповноважені особи,Розмір статутного капіталу,Організаційно-правова форма,Види діяльності,Контактна інформація,Назва англійською,Дані про перебування юридичної особи в процесі припинення,"Дані про перебування юридичної особи в процесі провадження у справі про банкрутство, санації"
A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",01,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",01.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,01.12,Вирощування рису,31336116,ФЕРМЕРСЬКЕ ГОСПОДАРСТВО НАДЬ,"ФГ ""НАДЬ""",Зареєстровано,Зареєстровано,31336116,27.02.2001 (24 роки 7 місяців),,НАДЬ ДЕЗИДЕР ДЕЖЕЕВИЧ керівник НАДЬ ДЕЗИДЕР ДЕЖЕЕВИЧ підписант (Відомості відсутні),"500,00 грн.",ФЕРМЕРСЬКЕ ГОСПОДАРСТВО,"Основний: 01.12 Вирощування рису Всього за цим КВЕД: 92 За цим видом діяльності в Україні діючих: 60 – юридичних осіб 32 – ФОП Інші: 01.11 Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур 01.13 Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів 01.21 Вирощування винограду 01.62 Допоміжна діяльність у тваринництві 01.61 Допоміжна діяльність у рослинництві 68.20 Надання в оренду й експлуатацію власного чи орендованого нерухомого майна 01.49 Розведення інших тварин 01.47 Розведення свійської птиці 01.46 Розведення свиней 01.41 Розведення великої рогатої худоби молочних порід 01.25 Вирощування ягід, горіхів, інших плодових дерев і чагарників 01.19 Вирощування інших однорічних і дворічних культур 46.21 Оптова торгівля зерном, необробленим тютюном, насінням і кормами для тварин 47.81 Роздрібна торгівля з лотків і на ринках харчовими продуктами, напоями та тютюновими виробами 47.22 Роздрібна торгівля м'ясом і м'ясними продуктами в спеціалізованих магазинах 46.32 Оптова торгівля м'ясом і м'ясними продуктами 47.21 Роздрібна торгівля фруктами й овочами в спеціалізованих магазинах 46.31 Оптова торгівля фруктами й овочами Всі Види Діяльності Приховати","Місцезнаходження юридичної особи: Україна, **4, Закарпатська обл., Ужгородський р-н, село Мала Добронь, ВУЛИЦЯ ПЕТЕФІ, будинок **",,,
A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",01,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",01.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,01.12,Вирощування рису,22987886,ГОСПРОЗРАХУНКОВИЙ РЕДАКЦІЙНО-ВИДАВНИЧИЙ ВІДДІЛ,,Припинено,Припинено,22987886,01.01.1992 (33 роки 9 місяців),Дата запису: 17.07.2020 Номер запису: 1 673 172 0004 012380 Стан суб'єкта: припинено,НЕВІДОМИЙ Н керівник,"0,00 грн.",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,Основний: 01.12 Вирощування рису (основний) Всього за цим КВЕД: 92 За цим видом діяльності в Україні діючих: 60 – юридичних осіб 32 – ФОП,"Місцезнаходження юридичної особи: 29000, Хмельницька обл., місто Хмельницький, ВУЛ. ПРОСКУРІВСЬКА, будинок **",,,
A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",01,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",01.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,01.12,Вирощування рису,32858868,САДІВНИЧЕ ТОВАРИСТВО ЮНІСТЬ,"СТ ""ЮНІСТЬ""",Зареєстровано,Зареєстровано,32858868,08.02.2005 (20 років 7 місяців),,ШЕВЧЕНКО АЛЛА МИКОЛАЇВНА керівник ШЕВЧЕНКО АЛЛА МИКОЛАЇВНА підписант (Відомості відсутні),"0,00 грн.",СІЛЬСЬКОГОСПОДАРСЬКИЙ ОБСЛУГОВУЮЧИЙ КООПЕРАТИВ,"Основний: 01.12 Овочівництво, декоративне садівництво та вирощування продукції розсадників Всього за цим КВЕД: 92 За цим видом діяльності в Україні діючих: 60 – юридичних осіб 32 – ФОП Інші: 01.13 Вирощування фруктів, ягід, горіхів, культур для виробництва напоїв і прянощів","Місцезнаходження юридичної особи: Україна, **1, Харківська обл., Чугуївський р-н, село Тернова Телефон: 80572936469 Дата оновлення 17.09.2025 В цей день ми додатково зробили перевірку, та отримали такі дані. Повні та актуальні дані на сьогодні, доступні в бізнес пакетах або в добовій ліцензії. Пройдіть бізнес реєстрацію або придбайте добову ліцензію.",,,
A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",01,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",01.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,01.12,Вирощування рису,32878109,ПРИВАТНЕ ПІДПРИЄМСТВО КОПІЙКА,,Припинено,Припинено,32878109,22.03.2004 (21 рік 6 місяців),Дата запису: 14.12.2021 Номер запису: 1 006 731 7200 04011207 Стан суб'єкта: спрощена процедура припинення,АНТОНЮК МИКОЛА АНТОНОВИЧ керівник,"0,00 грн.",ПРИВАТНЕ ПІДПРИЄМСТВО,Основний: 01.12 Вирощування рису Всього за цим КВЕД: 92 За цим видом діяльності в Україні діючих: 60 – юридичних осіб 32 – ФОП,"Місцезнаходження юридичної особи: Україна, **0, Хмельницька обл., місто Хмельницький, ВУЛ. ГАРНІЗОННА, будинок **, квартира **",,,
A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",01,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",01.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,01.12,Вирощування рису,32896746,ПРИВАТНЕ ПІДПРИЄМСТВО САДИ ПОДІЛЛЯ,"ПП ""САДИ ПОДІЛЛЯ""",Зареєстровано,Зареєстровано,32896746,28.07.2004 (21 рік 2 місяці),,АПИЧУК ОЛЕКСАНДР ВАСИЛЬОВИЧ керівник АПИЧУК ОЛЕКСАНДР ВАСИЛЬОВИЧ підписант (Відомості відсутні),"100,00 грн.",ПРИВАТНЕ ПІДПРИЄМСТВО,"Основний: 01.12 Овочівництво, декоративне садівництво та вирощування продукції розсадників Всього за цим КВЕД: 92 За цим видом діяльності в Україні діючих: 60 – юридичних осіб 32 – ФОП Інші: 74.11.1 Адвокатська діяльність 51.3 Оптова торгівля продуктами харчування, напоями та тютюновими виробами 52.2 Роздрібна торгівля в спеціалізованих магазинах продовольчими товарами 60.24 Діяльність автомобільного вантажного транспорту 15.33 Перероблення та консервування овочів та фруктів, не віднесене до інших групувань Всі Види Діяльності Приховати","Місцезнаходження юридичної особи: Україна, **3, Вінницька обл., Погребищенський р-н, село Розкопане",,,
A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",01,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",01.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,01.12,Вирощування рису,32940145,ПРИВАТНЕ ПІДПРИЄМСТВО ВИРОБНИЧО-КОМЕРЦІЙНЕ ПІДПРИЄМСТВО СХІД,"ПП ""ВКП""СХІД""",Порушено справу про банкрутство,Порушено справу про банкрутство,32940145,28.10.2004 (20 років 11 місяців),,БУТОВЧЕНКО ОКСАНА ГЕННАДІЇВНА керівник БУТОВЧЕНКО ОКСАНА ГЕННАДІЇВНА представник,"50,00 грн.",ПРИВАТНЕ ПІДПРИЄМСТВО,"Основний: 01.12 Овочівництво, декоративне садівництво та вирощування продукції розсадників (основний) Всього за цим КВЕД: 92 За цим видом діяльності в Україні діючих: 60 – юридичних осіб 32 – ФОП Інші: 51 Оптова торгівля і посередництво в оптовій торгівлі 01.24.0 Розведення птиці","Місцезнаходження юридичної особи: 79020, Львівська обл., місто Львів, ПРОСПЕКТ В.ЧОРНОВОЛА, будинок ** Телефон: 80662558055 Дата оновлення 01.10.2020 В цей день ми додатково зробили перевірку, та отримали такі дані. Повні та актуальні дані на сьогодні, доступні в бізнес пакетах або в добовій ліцензії. Пройдіть бізнес реєстрацію або придбайте добову ліцензію.",,,"11.02.2009 , 14151150003010410 - Внесення судового рішення про порушення провадження у справі про банкрутство юридичної особи"
A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",01,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",01.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,01.12,Вирощування рису,32993694,САДІВНИЧЕ ТОВАРИСТВО СТАТИСТИК,"СТ ""СТАТИСТИК""",Зареєстровано,Зареєстровано,32993694,23.09.2004 (21 рік),,ХОЛКІН АНАТОЛІЙ МАТВІЙОВИЧ керівник ХОЛКН АНАТОЛІЙ МАТВІЙОВИЧ підписант (Відомості відсутні),"0,00 грн.",ІНШІ ОРГАНІЗАЦІЙНО-ПРАВОВІ ФОРМИ,"Основний: 01.12 Овочівництво, декоративне садівництво та вирощування продукції розсадників Всього за цим КВЕД: 92 За цим видом діяльності в Україні діючих: 60 – юридичних осіб 32 – ФОП","Місцезнаходження юридичної особи: Україна, **1, Херсонська обл., Голопристанський р-н, село Кохани Телефон: 805522550931 Дата оновлення 09.09.2023 В цей день ми додатково зробили перевірку, та отримали такі дані. Повні та актуальні дані на сьогодні, доступні в бізнес пакетах або в добовій ліцензії. Пройдіть бізнес реєстрацію або придбайте добову ліцензію.",,,
A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",01,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",01.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,01.12,Вирощування рису,33083817,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СІЛЬСЬКОГОСПОДАРСЬКЕ ПІДПРИЄМСТВО ОАЗИС,,Зареєстровано,Зареєстровано,33083817,28.07.2004 (21 рік 2 місяці),,ВОРОНІН ІГОР ІВАНОВИЧ керівник ВОРОНІН ІГОР ІВАНОВИЧ підписант (Відомості відсутні),"20 500,00 грн.",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,"Основний: 01.12 Овочівництво, декоративне садівництво та вирощування продукції розсадників Всього за цим КВЕД: 92 За цим видом діяльності в Україні діючих: 60 – юридичних осіб 32 – ФОП Інші: 01.11.0 Вирощування зернових та технічних культур 51.21.0 Оптова торгівля зерном, насінням та кормами для тварин 51.31.0 Оптова торгівля фруктами та овочами 52.11.0 Роздрібна торгівля в неспеціалізованих магазинах з перевагою продовольчого асортименту 52.22.0 Роздрібна торгівля м'ясом та м'ясними продуктами Всі Види Діяльності Приховати","Місцезнаходження юридичної особи: Україна, **5, Київська обл., Вишгородський р-н, село Демидів, ВУЛИЦЯ ФАСТОВА, будинок **",,,
A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",01,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",01.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,01.12,Вирощування рису,33110232,САДІВНИЦЬКИЙ КООПЕРАТИВ АНТРАЦИТ,"СК ""АНТРАЦИТ""",В стані припинення,В стані припинення,33110232,06.08.2004 (21 рік 2 місяці),,АФЕНДІКОВ ЛЕОНІД ІВАНОВИЧ керівник АФЕНДІКОВ ЛЕОНІД ІВАНОВИЧ голова комісії з припинення або ліквідатор,"0,00 грн.",ІНШІ ОРГАНІЗАЦІЙНО-ПРАВОВІ ФОРМИ,Основний: 01.12 Вирощування рису (основний) Всього за цим КВЕД: 92 За цим видом діяльності в Україні діючих: 60 – юридичних осіб 32 – ФОП,"Місцезнаходження юридичної особи: 86782, Донецька обл., місто Харцизьк, селище міського типу Гірне",,"12.06.2009 - в стані припинення Підстава: за судовим рішенням Судове рішення: Судове рішення про неподання протягом року органам державної податкової служби податкових декларацій, документів фінансової звітності відповідно до закону №2-а-7678/09/0570 від 04.06.2009 Найменування суду: ДОНЕЦЬКИЙ ОКРУЖНИЙ АДМІНІСТРАТИВНИЙ СУД Дата набуття чинності: 12.06.2009",
A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",01,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",01.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,01.12,Вирощування рису,31679087,ПРИВАТНЕ ТОРГОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО УНИТЕХ,,Припинено,Припинено,31679087,26.09.2001 (24 роки),Дата запису: 13.01.2022 Номер запису: 1 006 731 7200 04012080 Стан суб'єкта: спрощена процедура припинення,ЛЕБІДЬ ГЕРГІЙ ПЕТРОВИЧ керівник,"0,00 грн.",ПРИВАТНЕ ПІДПРИЄМСТВО,Основний: 01.12 Вирощування рису Всього за цим КВЕД: 92 За цим видом діяльності в Україні діючих: 60 – юридичних осіб 32 – ФОП,"Місцезнаходження юридичної особи: Україна, **0, Хмельницька обл., місто Хмельницький, ВУЛ. ОЗЕРНА, будинок **",,,
